Proper Name,Description,Timeline/Era
Cour Du Chateau De Chambord,"**Cour du Château de Chambord**

The Cour du Château de Chambord is a monumental courtyard within the Château de Chambord, an iconic Renaissance castle in the Loire Valley, France.

**Historical","**

* **Early 16th Century (c. 1519-1547):**
    * King Francis I begins construction of the castle.
    * The courtyard is designed as the grand entrance to the castle.

* **Late 16th Century (c. 1560-1589):**
    * The courtyard is completed under King Charles IX.

* **17th Century:**
    * The castle and courtyard are used as a royal residence for hunting and entertainment.

* **18th Century:**
    * The castle is neglected and falls into disrepair.

* **19th Century (1821):**
    * King Louis-Philippe I restores the castle and courtyard.

* **20th Century:**
    * The castle and courtyard become a national monument in 1930.

* **21st Century:**
    * The Cour du Château de Chambord is a popular tourist destination, known for its impressive scale and architectural details.

**Historical Era or Period:**

The Cour du Château de Chambord belongs to the **Renaissance era** of architecture (c. 14th - 17th century). It exemplifies the grandeur and symmetry that characterized this period, with its vast dimensions, elaborate archways, and intricate ornamentation."
Elizabeth Tower Big Ben,"**Elizabeth Tower Big Ben**

* **Description:** A clock tower attached to the north end of the Palace of Westminster in London, housing a large bell known as Big Ben. It is a cultural icon of the United Kingdom.

**Historical Timeline**

* **1288:** A clock tower known as the Clock House existed on the site.
* **1368:** The Clock House was rebuilt.
* **1698:** The Clock House was destroyed by fire.
* **1707:** A new clock tower was erected, housing a new clock with a bell.
* **1834:** The new clock tower was damaged by fire.
* **1843:** The present clock tower, designed by Charles Barry and Augustus Pugin, was completed.
* **1859:** The bell known as Big Ben was installed.
* **1983-1984:** The clock tower underwent major renovations.
* **2017-2022:** The clock tower was closed for extensive restoration work.

**Historical Era/Period**

Elizabeth Tower Big Ben belongs to the Victorian era (1837-1901), as it was completed and the bell was installed during this period. The original clock tower dates back to the medieval period, while the present tower is an example of neo-Gothic architecture.",Unknown Era
Candi Prambanan Low Poly,"**Candi Prambanan Low Poly**

The video game asset ""Candi Prambanan Low Poly"" is a three-dimensional model of the Prambanan temple complex in Indonesia, created using a low-polygonal style.

**Historical","**

**8th Century CE:**
* Construction of the original Prambanan temple by the Syailendra dynasty.

**9th Century CE:**
* Expansion of the temple by the Sanjaya dynasty.

**10th Century CE:**
* Sacking and destruction of Prambanan by the Srivijaya kingdom.

**16th Century CE:**
* Rediscovery and exploration of the ruins.

**1950s CE:**
* Restoration and reconstruction of the temple complex.

**2020s CE:**
* Creation of the ""Candi Prambanan Low Poly"" video game asset.

**Historical Era:**
The original construction of Prambanan belongs to the **Mataram era** (8th-10th centuries CE) of ancient Javanese history. However, the video game asset is a modern creation, representing a much later historical period."
Casa Dello Scheletro At Herculaneum,"**Casa Dello Scheletro (House of the Skeleton) at Herculaneum**

The Casa Dello Scheletro is a well-preserved ancient Roman house located in the archaeological site of Herculaneum, near Naples, Italy. It is believed to belong to the 1st century CE, during the Roman Empire.

**Historical","**

* **1st century CE:** The house is built during the reign of the Roman Emperor Nero.
* **79 CE:** The eruption of Mount Vesuvius buries Herculaneum in ash and pumice, preserving the house and its contents.
* **1709:** The house is discovered during excavations.
* **1739:** The remains of a skeleton are found in the house, giving it its name.
* **19th century:** The house is restored and opened to the public.
* **Present:** The Casa Dello Scheletro remains a popular tourist destination, showcasing the daily life and architecture of a Roman villa in the 1st century CE."
Palace Of The Popes Avignon France,"**Palace of the Popes, Avignon, France**

**Historical","**

**14th Century (Gothic Period):**

* **c. 1334:** Construction begins under Pope Benedict XII
* **c. 1342:** Palace completed
* **1353:** Pope Innocent VI arrives in Avignon and resides in the Palace

**15th Century (Early Renaissance):**

* **1403:** Palace becomes the residence of the Antipopes Clement VII and Benedict XIII
* **1408:** Urban V attempts to return the papacy to Rome, but the Antipopes remain in Avignon
* **1415:** Council of Constance deposes the Antipopes and ends the Western Schism

**16th Century (Late Renaissance):**

* **1533:** Avignon and the Palace are annexed by France
* **1598:** Palace becomes a prison
* **1791:** Palace is sold during the French Revolution

**19th Century (Gothic Revival):**

* **1879:** Palace is purchased by the French government
* **1906:** Palace is restored and opened to the public as a historical monument

**Historical Era or Period:**

* Avignon Papacy (1309-1423)"
Buckingham Palace,"**Buckingham Palace**

Buckingham Palace is the official London residence of the British monarch. It is a large, detached palace in the City of Westminster, in central London. The palace is a national icon and a symbol of the British monarchy.

**Historical Timeline**

* **1703-1705:** Buckingham House is built by the Duke of Buckingham.
* **1761:** King George III purchases Buckingham House as a private residence for his wife, Queen Charlotte.
* **1762-1775:** Buckingham House is enlarged and extensively remodeled by Sir William Chambers.
* **1825:** King George IV commissions John Nash to transform Buckingham House into a palace.
* **1837:** Queen Victoria becomes the first monarch to live in Buckingham Palace.
* **1847:** The East and West Wings are added to the palace.
* **1913:** The Grand Entrance is added to the palace.
* **1940-1945:** The palace is damaged by German bombs during World War II.
* **1952-1962:** The palace is extensively restored and remodeled.
* **Present:** Buckingham Palace remains the official London residence of the British monarch.

Buckingham Palace belongs to the **Georgian period**, which lasted from 1714 to 1837. The palace was remodeled and extended by John Nash in the 1820s and 1830s, when King George IV was on the throne.",Unknown Era
Brandenburg Gate Germany,"**Brandenburg Gate Germany**

The Brandenburg Gate is a monumental 18th-century neoclassical triumphal arch in Berlin, Germany. It is the only remaining city gate from the former Berlin city fortifications and was built on the site of a former city gate that marked the start of the road from Berlin to the town of Brandenburg an der Havel.

**Historical","**

* **Late 17th century:** First city gate is built on the site.
* **1788-1791:** Current Brandenburg Gate is built as a triumphal arch by King Frederick William II of Prussia.
* **1806:** Napoleon Bonaparte triumphantly enters Berlin through the gate.
* **1814:** Prussian troops return to Berlin and parade through the gate.
* **1848-1849:** The gate becomes a symbol of German unification during the Revolutions of 1848.
* **1918:** The gate is decorated with a temporary Quadriga, a chariot drawn by four horses.
* **1933-1945:** The gate becomes a Nazi symbol during the Third Reich.
* **1945:** The gate is heavily damaged during the Battle of Berlin.
* **1956-1957:** The Quadriga is restored and placed back on the gate.
* **1961-1989:** The Brandenburg Gate stands on the border between East and West Berlin during the Cold War.
* **1989:** The Berlin Wall falls, and the Brandenburg Gate becomes a symbol of German reunification.
* **1997:** The gate is designated a landmark in the UNESCO World Heritage Site ""Museumsinsel (Museum Island), Berlin"".

**Historical Era or Period:**

Neoclassicism (18th century)"
Intipunku Peru,"**Intipunku Peru**

**Description:**

Intipunku, meaning ""Sun Gate"" in Quechua, is an archaeological site in Peru, located at the entrance to Machu Picchu. It is a stone gateway carved into a mountain, offering a spectacular view of the ruins below.

**Historical","**

* **Inca Empire (1438-1533 AD):**
    * Intipunku was constructed during the reign of Pachacuti Inca Yupanqui.
    * It served as the ceremonial entrance to Machu Picchu, a sacred city dedicated to the sun god Inti.
    * The Incas believed that the gate marked the transition from the profane to the sacred realm.

**Post-Inca Period:**

* **Spanish Conquest (1532-1572 AD):**
    * The Spanish conquistadors likely discovered Intipunku, but it was largely forgotten for centuries.
* **1911 AD:**
    * Hiram Bingham, an American explorer, rediscovered Machu Picchu and Intipunku.
* **Present Day:**
    * Intipunku is one of the most iconic landmarks of Machu Picchu and a popular destination for tourists."
Petronas Towers,"**Petronas Towers**

The Petronas Towers are twin skyscrapers in Kuala Lumpur, Malaysia. They were the tallest buildings in the world from 1998 to 2004 and remain the tallest twin towers in the world.

**Historical Timeline**

* **1992:** Construction begins.
* **1996:** Structural completion.
* **1998:** Towers officially open.
* **2004:** Taipei 101 completed, becoming the new tallest building in the world.
* **2019:** Petronas Towers undergo a major renovation.

**Historical Era or Period**

The Petronas Towers belong to the contemporary architecture era (late 20th century to present).",Unknown Era
Edinburgh Castle And Cubic Buildings   Scotland,"**Edinburgh Castle and Cubic Buildings, Scotland**

Edinburgh Castle is a historic fortress perched on Castle Rock overlooking the city of Edinburgh, Scotland. The castle has a rich and storied past, dating back to the early Middle Ages. The cubic buildings within the castle walls were constructed in the Victorian era.

**Historical","**

**Medieval Period:**

* **6th century AD:** Castle Rock first fortified
* **11th century AD:** King David I builds a royal castle on the site

**Renaissance Period:**

* **15th century AD:** Castle becomes the royal residence of the Stewart kings
* **16th century AD:** Great Hall and other buildings constructed
* **1611 AD:** James VI of Scotland (later James I of England) builds the Cubic Buildings

**Modern Period:**

* **17th century AD:** Castle used as a military garrison
* **18th century AD:** Castle becomes a tourist attraction
* **19th century AD:** Cubic Buildings restored
* **20th century AD:** Castle used as a military base during World War II
* **Present day:** Castle is a popular tourist destination and historic monument"
The Louvre,"**Description:**

The Louvre, located in Paris, France, is the world's largest and most visited art museum. It is housed in the former royal palace, the Louvre Palace. The Louvre's vast collection spans over 8,000 years of art history, with masterpieces from around the globe.

**Historical","**

* **12th Century:** The Louvre Palace was originally a medieval fortress built by King Philip II.
* **16th Century:** King Francis I converted the fortress into a royal residence and began collecting art.
* **17th Century:** King Louis XIV expanded the Louvre and established the Royal Academy of Painting and Sculpture.
* **18th Century:** The Louvre became a public museum during the French Revolution.
* **19th Century:** The Louvre underwent significant renovations and expansions, including the addition of the iconic glass pyramid.
* **20th Century:** The Louvre continued to acquire new works of art and host major exhibitions.
* **Present-day:** The Louvre remains one of the world's most iconic and important cultural institutions.

**Historical Era:**

The Louvre belongs to various historical eras, including:

* **Medieval Period:** Construction of the fortress.
* **Renaissance Period:** Conversion into a royal residence.
* **Baroque Period:** Expansion and establishment of the Royal Academy.
* **Neoclassical Period:** Museum status and significant renovations.
* **Modern and Contemporary Period:** Continued growth and development."
